question,answer_framework1,matched_question_gold,gold_standard_answer,question_similarity,answer_similarity,bertscore_precision,bertscore_recall,bertscore_f1
Can antiretroviral medications affect eyesight or lead to any eye-related issues?,"There is no specific documentation indicating that antiretroviral medications directly affect the eyes. However, HIV itself can lead to certain eye diseases. Antiretroviral therapy generally improves overall health, including eye health, if started early. If you experience any eye-related issues, it's important to consult your healthcare provider for proper evaluation and management. Regular eye exams are recommended to monitor any potential issues.",Do ARV drugs have any impact on vision or can they cause eye-related problems?,There is no documentation on the effects of ARV on the eye. But there is evidence that H can affect the eye. H can affect any part of the body. ARV improve all the system of the body if there is an early diagnosis. ARV does not spoil the eye.,0.8214348554611206,0.659264862537384,0.6519932746887207,0.6888185143470764,0.6699001789093018
Could you provide me with a counselor's contact information?,You can contact a male counselor at 0803 577 1244 or reach out to female counselors at 0805 5210 648 and 0706 533 7109.,Can you give me the contact of a counselor?,Yes. You can contact a male counselor on 0803 577 1244 or you can contact these female counselors on 0805 5210 648 & 0706 533 7109.,0.89015793800354,0.8549554347991943,0.9461991786956787,0.9216115474700928,0.9337435364723206
In what ways can HIV impact a person's emotional well-being?,"HIV can significantly impact a person's emotional well-being by causing feelings of fear, anxiety, depression, and isolation. The stigma associated with HIV can lead to shame, discrimination, and social withdrawal, affecting self-esteem and mental health. Individuals may experience emotional instability, including anger and confusion, especially when disclosing their status to others. Managing HIV as a chronic condition can also lead to stress and uncertainty about the future. Seeking support from healthcare providers, counselors, and support groups is crucial in addressing these emotional challenges.",How does HIV affect one's emotional well-being?,"Diagnosis and stigma can lead to emotional challenges like fear, anxiety, and depression.
With these different levels of stigma to deal with, people living with HIV can sometimes experience heightened levels of emotional and psychological issues including fear, guilt, abandonment, lack of worth, and harassment.
Sometimes one may have difficulty in disclosing his or her status to friends and loved ones. This can cause emotional stress and impact one's mental health and well-being.",0.9822551012039183,0.9021499156951904,0.7426744103431702,0.7648876309394836,0.7536174058914185
Why is a newborn given H-treatment immediately after birth?,"Newborns are given HIV treatment immediately after birth to prevent mother-to-child transmission of the virus. This treatment, lasting at least 4-6 weeks, is crucial to clear any virus the baby may have been exposed to during passage through the birth canal. It significantly reduces the risk of the baby contracting HIV, especially if the mother's viral load was high during pregnancy.",Why is a baby placed in H-treatment after birth/delivery?,"After delivery, the baby should be on medication treatment for at least 4-6 weeks. It can be longer if the HIV virus in the mother’s blood is high during pregnancy. It is a must for the baby to be placed on medication to clear any virus around the baby during passage through the birth canal. There have been many success stories. It helps to prevent the baby from having HIV.",0.9254589080810548,0.8839508891105652,0.7665594220161438,0.7571635246276855,0.7618325352668762
Who are the participants in the support group?,"Participants in HIV support groups typically include individuals living with HIV, who come together to share their experiences and offer each other support, encouragement, and comfort. These groups may also include family members, friends, caregivers, and sometimes healthcare professionals. They provide a safe space for discussing common challenges and developing skills to cope with living with HIV. Support groups can be found in various clinics and are accessible to nearly everyone.",Who are those in the support group?,"The group consists of people with H. They come together to share troubling issues that are facing them. By sharing their experiences, they can offer each other support, encouragement and comfort.",0.920851707458496,0.5107452273368835,0.6805737018585205,0.7886270880699158,0.7306269407272339
What is the correct way to store my medication?,"Store your HIV medication in a cool, dry place away from direct sunlight, ideally at room temperature. Keep it in its original packaging or container to protect it from moisture, and ensure it is out of reach of children and pets. Avoid storing it in the bathroom, kitchen, or car where it can be exposed to heat and humidity. Always follow specific storage instructions for each medication, such as keeping ritonavir capsules in the refrigerator.",How best can I store my drugs?,"Please follow the advice of the healthcare professional. Generally, ARV medications should be kept in a safe and dry place. Avoid keeping them in your car, or kitchen, as these are likely to make it too hot and can make them less effective.",0.8832336068153381,0.7749220132827759,0.673244833946228,0.7214575409889221,0.696517825126648
Is it safe to combine an herbal mixture with antiretroviral medication?,"It is not safe to combine herbal mixtures with antiretroviral medications, as they may interact and reduce the effectiveness of the ARVs. This can lead to an increase in viral load and susceptibility to infection. It is crucial to consult with a healthcare provider to ensure there are no harmful interactions.",What are the dangers involved in mixing herbal medicine with ARV drugs?,"Herbal remedies will affect  how ARV functions, known as potency. This can lead to an increase in viral load and susceptibility to infection.

Herbal supplements and products can have interactions with your ARVs. Please contact your healthcare provider for more information.",0.7458134889602661,0.6689885854721069,0.6990678310394287,0.72808837890625,0.7132830023765564
What should I use to take my medication?,"You should use clean water to take your medication, as it is the safest option. Avoid using alcohol or soft drinks like Coke, Fanta, and Sprite to swallow your ARV drugs, as these can affect the medication's effectiveness. If swallowing is difficult, you can take the tablets with water and juice, but do not crush them or mix them with tea. Always follow your healthcare provider's instructions regarding your medication.",What can I use to take my drugs?,Clean water should be used to take your drugs. Do not swallow your drugs with alcohol.,0.8609092831611633,0.7215113639831543,0.6282404661178589,0.797629177570343,0.7028733491897583
What are the potential dangers or safety measures when mixing antiretroviral drugs with illegal substances?,"Mixing antiretroviral drugs with illegal substances is dangerous as it can reduce the effectiveness of HIV treatment and increase the risk of drug interactions and side effects. Recreational drugs may counteract the potency of antiretrovirals, leading to potential drug resistance and undesirable effects. It is crucial to avoid such combinations and consult healthcare professionals to ensure there are no harmful interactions. Always discuss any substances you are taking with your doctor to maintain the effectiveness of your HIV treatment.",Are there any risks or precautions associated with combining ARV medications and illicit drugs?,"Illicit drugs should not be taken with ARV. Kindly discuss the contents of recreational drugs with your  doctor, as they may interact with the effectiveness of ARV.",0.7859016060829163,0.7302645444869995,0.6256177425384521,0.6859610080718994,0.6544012427330017
Is it possible to contract HIV from sweat or tears?,"No, it is not possible to contract HIV through sweat or tears. HIV is not transmitted through casual contact, including sharing sweat or tears. It is transmitted through specific bodily fluids such as blood, semen, vaginal fluids, rectal fluids, and breast milk.",Can HIV be transmitted through sweat or tears?,"HIV is not transmitted through sweat or tears. HIV is NOT transmitted through casual contact. HIV is, however, transmitted through contact with infected blood, semen, vaginal fluids, rectal fluids, or breast milk.",0.945715606212616,0.9212127923965454,0.8115905523300171,0.8483370542526245,0.8295570611953735
