question,answer_framework1,matched_question_gold,gold_standard_answer,question_similarity,answer_similarity,bertscore_precision,bertscore_recall,bertscore_f1
Can antiretroviral medications affect eyesight or lead to any eye-related issues?,"There is no documented evidence that antiretroviral medications directly affect eyesight or lead to eye-related issues. However, HIV itself can lead to certain eye diseases that affect vision. It is important for individuals on antiretroviral therapy to have regular eye check-ups and report any changes in vision to their healthcare provider. If you experience any eye-related symptoms, consult your healthcare provider for guidance.",Do ARV drugs have any impact on vision or can they cause eye-related problems?,There is no documentation on the effects of ARV on the eye. But there is evidence that H can affect the eye. H can affect any part of the body. ARV improve all the system of the body if there is an early diagnosis. ARV does not spoil the eye.,0.8214348554611206,0.6076668500900269,0.6080975532531738,0.6356357336044312,0.6215617656707764
Could you provide me with a counselor's contact information?,You can contact a male counselor at 0803 577 1244 or female counselors at 0805 5210 648 and 0706 533 7109 for assistance.,Can you give me the contact of a counselor?,Yes. You can contact a male counselor on 0803 577 1244 or you can contact these female counselors on 0805 5210 648 & 0706 533 7109.,0.89015793800354,0.8444080352783203,0.9146932363510132,0.8927802443504333,0.9036039113998413
In what ways can HIV impact a person's emotional well-being?,"HIV can significantly impact a person's emotional well-being by causing feelings of shock, fear, anxiety, and depression due to concerns about health, stigma, and the future. Individuals may experience stress from managing the condition and adhering to treatment regimens. Social isolation can occur if they feel unable to disclose their status or face discrimination. The chronic nature of the illness can lead to ongoing emotional challenges, requiring support and counseling. Additionally, stigma and disclosure issues can affect social interactions, leading to social withdrawal and relationship breakdowns.",How does HIV affect one's emotional well-being?,"Diagnosis and stigma can lead to emotional challenges like fear, anxiety, and depression.
With these different levels of stigma to deal with, people living with HIV can sometimes experience heightened levels of emotional and psychological issues including fear, guilt, abandonment, lack of worth, and harassment.
Sometimes one may have difficulty in disclosing his or her status to friends and loved ones. This can cause emotional stress and impact one's mental health and well-being.",0.9822551012039183,0.8866596817970276,0.7118102312088013,0.7457008361816406,0.7283614873886108
Why is a newborn given H-treatment immediately after birth?,"A newborn is given HIV treatment immediately after birth if the mother is HIV-positive to reduce the risk of mother-to-child transmission. The treatment, which lasts for at least 4-6 weeks, helps clear any virus the baby may have been exposed to during passage through the birth canal. This preventive measure is crucial in significantly lowering the chances of the baby contracting HIV.",Why is a baby placed in H-treatment after birth/delivery?,"After delivery, the baby should be on medication treatment for at least 4-6 weeks. It can be longer if the HIV virus in the mother’s blood is high during pregnancy. It is a must for the baby to be placed on medication to clear any virus around the baby during passage through the birth canal. There have been many success stories. It helps to prevent the baby from having HIV.",0.9254589080810548,0.8820011615753174,0.7370520830154419,0.7349010705947876,0.7359750270843506
Who are the participants in the support group?,"Participants in an HIV support group typically include individuals living with HIV, who come together to share their experiences and offer each other support, encouragement, and comfort. These groups may also include youths and adults who meet regularly, and some members have become counsellors due to their personal experiences. The composition of the group can vary, but it primarily consists of people directly affected by HIV.",Who are those in the support group?,"The group consists of people with H. They come together to share troubling issues that are facing them. By sharing their experiences, they can offer each other support, encouragement and comfort.",0.920851707458496,0.5159618854522705,0.6574340462684631,0.7552401423454285,0.7029513120651245
What is the correct way to store my medication?,"The correct way to store your HIV medication is to keep it in a cool, dry place away from direct sunlight and moisture, such as a cabinet or drawer. Avoid storing it in the bathroom or kitchen where humidity and temperature changes are common. Keep the medication in its original container with the lid tightly closed, and ensure it is out of reach of children and pets. Some medications, like ritonavir capsules, may require refrigeration, so always check the specific storage instructions provided with your medication.",How best can I store my drugs?,"Please follow the advice of the healthcare professional. Generally, ARV medications should be kept in a safe and dry place. Avoid keeping them in your car, or kitchen, as these are likely to make it too hot and can make them less effective.",0.8832336068153381,0.7539783716201782,0.6636096835136414,0.719062864780426,0.690224289894104
Is it safe to combine an herbal mixture with antiretroviral medication?,"Combining herbal mixtures with antiretroviral medications is not recommended, as they can interact and reduce the effectiveness of the ARVs. This interaction may lead to an increase in viral load and susceptibility to infection. It is crucial to consult with a healthcare provider before taking any herbal supplements to ensure they do not interfere with your HIV treatment.",What are the dangers involved in mixing herbal medicine with ARV drugs?,"Herbal remedies will affect  how ARV functions, known as potency. This can lead to an increase in viral load and susceptibility to infection.

Herbal supplements and products can have interactions with your ARVs. Please contact your healthcare provider for more information.",0.7458134889602661,0.6693954467773438,0.681456446647644,0.7334436178207397,0.7064949870109558
What should I use to take my medication?,"When taking your HIV medication, use clean water to swallow your pills, unless otherwise directed by your healthcare provider. Avoid using alcohol or grapefruit juice, as they can interact with certain medications. If swallowing is difficult, consult your healthcare provider for alternatives or techniques, but do not crush the tablets and mix them with tea, as this may reduce their effectiveness. Always follow your doctor's instructions to ensure the medication's effectiveness.",What can I use to take my drugs?,Clean water should be used to take your drugs. Do not swallow your drugs with alcohol.,0.8609092831611633,0.6843972206115723,0.5910400152206421,0.7817720770835876,0.6731563806533813
What are the potential dangers or safety measures when mixing antiretroviral drugs with illegal substances?,"Mixing antiretroviral drugs with illegal substances can significantly reduce the effectiveness of HIV treatment and increase the risk of harmful drug interactions. Recreational drugs may counteract the potency of antiretrovirals, leading to increased side effects or drug resistance. It is crucial to avoid using illegal substances and to consult healthcare providers about any substance use to ensure there are no dangerous interactions. Adhering strictly to prescribed HIV treatment regimens is essential for maintaining health and treatment efficacy.",Are there any risks or precautions associated with combining ARV medications and illicit drugs?,"Illicit drugs should not be taken with ARV. Kindly discuss the contents of recreational drugs with your  doctor, as they may interact with the effectiveness of ARV.",0.7859016060829163,0.73412024974823,0.5916048288345337,0.6516884565353394,0.6201948523521423
Is it possible to contract HIV from sweat or tears?,"No, it is not possible to contract HIV from sweat or tears. HIV is transmitted through certain body fluids such as blood, semen, vaginal fluids, rectal fluids, and breast milk, but not through sweat or tears. Casual contact, such as touching or being near someone who is sweating or crying, does not pose a risk for HIV transmission.",Can HIV be transmitted through sweat or tears?,"HIV is not transmitted through sweat or tears. HIV is NOT transmitted through casual contact. HIV is, however, transmitted through contact with infected blood, semen, vaginal fluids, rectal fluids, or breast milk.",0.945715606212616,0.8786327838897705,0.7357186079025269,0.7988811731338501,0.7660000324249268
